Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
244	Receive	13:14:37.308			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
245	Receive	13:14:37.308			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
246	Receive	13:14:37.324			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
247	Receive	13:14:37.324			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
248	Receive	13:14:37.324			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
249	Receive	13:14:37.324			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
250	Receive	13:14:37.324			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
251	Receive	13:14:37.324			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
252	Receive	13:14:37.324			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
253	Receive	13:14:37.340			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
254	Receive	13:14:37.340			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
255	Receive	13:14:37.340			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
256	Receive	13:14:37.340			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
257	Receive	13:14:37.340			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
258	Receive	13:14:37.340			0x1826A1F3	Data	Extend	0x08	2E 15 10 17 10 16 10 00 	
259	Receive	13:14:37.340			0x1827A1F3	Data	Extend	0x08	2E 18 10 18 10 17 10 00 	
260	Receive	13:14:37.340			0x1828A1F3	Data	Extend	0x08	2E 15 10 17 10 15 10 00 	
